title,text,label
"NASA Finds Water on Mars","NASA announced today that they have found water on Mars, opening possibilities for life.",REAL
"Aliens Abduct Politician","A local politician was reportedly abducted by aliens according to witnesses.",FAKE
"Economy Growth Hits New High","The government reports a record-breaking economic growth this quarter.",REAL
"Celebrity Marries Ghost","A celebrity has claimed to marry a 300-year-old ghost in a private ceremony.",FAKE
"Breakthrough in Cancer Research","Scientists have made a breakthrough in cancer treatment that could save millions.",REAL
"Dinosaurs Seen in the Forest","Local hikers claim to have seen living dinosaurs in the nearby forest.",FAKE
"Stock Markets Surge","Stock markets reached new highs today following economic policy announcements.",REAL
"Time Traveler Arrested","A man claiming to be from the future was arrested for predicting events accurately.",FAKE
"New Vaccine Developed","A new vaccine has been developed that prevents multiple viral infections.",REAL
"City Submerged by 2050","Scientists warn that major cities will be submerged underwater by 2050.",FAKE
"Government Passes Education Bill","The parliament passed a new education reform bill today.",REAL
"Alien Spaceship Found in Desert","An alien spaceship was reportedly found in the Sahara Desert.",FAKE
"Climate Change Report Released","A new report details the severe effects of climate change.",REAL
"Man Communicates with Animals","A man claims he can talk to animals through telepathy.",FAKE
"New Solar Technology Invented","Scientists have invented a new type of efficient solar panel.",REAL
"Vampires Spotted in Romania","Residents report seeing vampires in a Romanian village.",FAKE
"Medical Breakthrough for Diabetes","Doctors discover a natural way to control blood sugar levels.",REAL
"Superhero Seen Flying","A superhero was reportedly seen flying over New York City.",FAKE
"SpaceX Launch Successful","SpaceX successfully launched a new rocket into orbit.",REAL
"Haunted Phone Calls","People receive phone calls from deceased relatives.",FAKE
"New AI Can Diagnose Diseases","A new AI system can accurately diagnose diseases from images.",REAL
"Mermaid Spotted by Fishermen","Fishermen claim to have seen a mermaid off the coast.",FAKE
"Global Literacy Rates Rise","UNESCO reports a significant increase in global literacy rates.",REAL
"Man Lifts Car With Mind","A man reportedly lifted a car using telekinesis.",FAKE
"Scientists Discover New Planet","Astronomers discovered a new Earth-like planet.",REAL
"Woman Lives Without Food","A woman claims to have lived without food for a year.",FAKE
"Breakthrough in Alzheimer’s Treatment","New drug shows promise in reversing Alzheimer’s symptoms.",REAL
"Talking Dog Appears on TV","A talking dog amazed audiences on a live TV show.",FAKE
"New Renewable Energy Source Found","Researchers found a clean energy source that could replace fossil fuels.",REAL
"Aliens Land in City","Multiple witnesses claim to have seen an alien spaceship land.",FAKE
"Electric Cars Outsell Petrol Cars","Electric car sales surpass petrol cars for the first time.",REAL
"City to Ban Gravity","A city council plans to ban gravity next month.",FAKE
"New Ocean Species Discovered","Scientists discover a new species in the Mariana Trench.",REAL
"Psychic Predicts End of World","A psychic predicts the world will end next Tuesday.",FAKE
"Robot Performs Heart Surgery","A robot successfully performs complex heart surgery.",REAL
"Man Claims to be Reincarnated Pharaoh","A man says he remembers his past life as an Egyptian pharaoh.",FAKE
"Global Poverty Drops","World Bank reports a major decline in global poverty.",REAL
"Ghost Car Seen Driving Itself","A car without a driver was seen on the highway.",FAKE
"New App Helps Detect Diseases","An app can now detect early signs of illnesses.",REAL
"Aliens Build Pyramid","Aliens were credited for building ancient pyramids.",FAKE
"New Cancer Detection Tool Developed","Doctors develop a tool that detects cancer in early stages.",REAL
"Superhuman Strength Discovered","A man lifts 5 cars with his bare hands.",FAKE
"Government Reduces Taxes","The government announced a major tax cut today.",REAL
"Time Machine Prototype Built","Scientists build the first working time machine prototype.",FAKE
"Sea Levels Rise by 3 Inches","New study shows sea levels have risen by 3 inches globally.",REAL
"Alien Baby Born","A woman claims to have given birth to an alien.",FAKE
"Breakthrough in Battery Technology","A new battery can charge in 5 minutes and last 3 days.",REAL
"Vampire Detected in Hospital","A vampire was reportedly found in a hospital room.",FAKE
"India Launches New Satellite","ISRO successfully launched a new communication satellite.",REAL
"Talking Plant Discovered","A plant that can speak human languages was discovered.",FAKE
"Global Internet Access Expands","Internet access reaches 95% of the global population.",REAL
"Man Becomes Invisible","A man disappears using secret technology.",FAKE
"Medical Drone Delivers Organs","Drones successfully delivered transplant organs.",REAL
"Loch Ness Monster Found","Scientists claim to have captured the Loch Ness Monster.",FAKE
"Government Launches Healthcare Scheme","A new scheme aims to provide free healthcare to citizens.",REAL
"Aliens Control The Moon","Conspiracy theorists claim aliens control the moon.",FAKE
"Breakthrough in Clean Water Technology","New tech makes seawater drinkable at low cost.",REAL
"Zombie Virus Spreads","A zombie virus outbreak has been reported.",FAKE
"Company Creates 3D Printed Homes","A company builds homes using 3D printing technology.",REAL
"Wizard Seen in London","A man dressed as a wizard performed real magic.",FAKE
"Renewable Energy Use Surges","Renewable energy now supplies 60% of global electricity.",REAL
"Ancient City Found Under Ocean","Divers found a lost city beneath the Atlantic Ocean.",FAKE
"Electric Plane Completes Flight","The world's first electric plane successfully completes a test flight.",REAL
"Man Discovers Fountain of Youth","A man claims to have found a fountain that reverses aging.",FAKE
"Breakthrough in Plastic Recycling","Scientists invent a method to recycle plastics endlessly.",REAL
"Mermaid School Opens","A school teaches people how to become mermaids.",FAKE
"Child Prodigy Solves Complex Math Problem","A 10-year-old solves a university-level problem.",REAL
